************************************************************************************,,,,,,,,
"*** Global CO2 emissions, 1751-2022, from Global Carbon Project (GCP) 2023v36    ***",,,,,,,,
*** https://zenodo.org/record/10177738                                           ***,,,,,,,,
*** Global Carbon Project home page: https://www.globalcarbonproject.org/        ***,,,,,,,,
*** Excerpted from:                                                              ***,,,,,,,,
*** https://zenodo.org/records/10177738/files/GCB2023v36_MtCO2_flat.csv?download=1 ***,,,,,,,,
************************************************************************************,,,,,,,,
,,,,,,,,
All emission estimates are expressed in million metric tonnes of carbon (MtC).,,,,,,,,
"To convert these estimates to units of million metric tonnes Of CO2 (MtCO2),",,,,,,,,
simply multiply these estimates by (44.0095 / 12.0107).,,,,,,,,
,,,,,,,,
tabs 7 21 35 49 62 75 87 99,,,,,,,,
,,,,,,,,
A,B,C,D,E,F,G,H,I
Year,Total,Gas,Oil,Coal,Cement,Flaring,Other,Per Capita
1750,2.539698,,,2.539698,,,,0.003121
1751,2.567341,,,2.567341,,,,0.003141
1752,2.59407,,,2.59407,,,,0.003159
1753,2.622814,,,2.622814,,,,0.003179
1754,2.656406,,,2.656406,,,,0.003206
1755,2.67275,,,2.67275,,,,0.003212
1756,2.70453,,,2.70453,,,,0.003236
1757,2.754752,,,2.754752,,,,0.003282
1758,2.788162,,,2.788162,,,,0.003308
1759,2.821592,,,2.821592,,,,0.003334
1760,2.869482,,,2.869482,,,,0.003377
1761,2.933222,,,2.933222,,,,0.003438
1762,2.988981,,,2.988981,,,,0.00349
1763,3.054315,,,3.054315,,,,0.003552
1764,3.110368,,,3.110368,,,,0.003604
1765,3.177642,,,3.177642,,,,0.003668
1766,3.241119,,,3.241119,,,,0.003727
1767,3.31656,,,3.31656,,,,0.003799
1768,3.402371,,,3.402371,,,,0.003883
1769,3.48783,,,3.48783,,,,0.003966
1770,3.574381,,,3.574381,,,,0.004049
1771,3.648687,,,3.648687,,,,0.004118
1772,3.718012,,,3.718012,,,,0.004181
1773,3.7684,,,3.7684,,,,0.004222
1774,3.82415,,,3.82415,,,,0.004269
1775,3.913257,,,3.913257,,,,0.004353
1776,3.999279,,,3.999279,,,,0.004433
1777,4.08263,,,4.08263,,,,0.004509
1778,4.160122,,,4.160122,,,,0.004578
1779,4.239745,,,4.239745,,,,0.004649
1780,4.333487,,,4.333487,,,,0.004734
1781,4.43055,,,4.43055,,,,0.004822
1782,4.525134,,,4.525134,,,,0.004907
1783,4.656621,,,4.656621,,,,0.005031
1784,4.768063,,,4.768063,,,,0.005133
1785,4.90289,,,4.90289,,,,0.005258
1786,5.034535,,,5.034535,,,,0.00538
1787,5.146874,,,5.146874,,,,0.005479
1788,5.263434,,,5.263434,,,,0.005582
1789,5.420958,,,5.420958,,,,0.005727
1790,5.566875,,,5.566875,,,,0.005858
1791,5.712516,,,5.712516,,,,0.005988
1792,5.984736,,,5.984736,,,,0.006249
1793,6.08518,,,6.08518,,,,0.006329
1794,6.145874,,,6.145874,,,,0.006366
1795,6.090088,,,6.090088,,,,0.006283
1796,6.037178,,,6.037178,,,,0.006203
1797,6.028637,,,6.028637,,,,0.006169
1798,6.305874,,,6.305874,,,,0.006425
1799,7.50103,,,7.50103,,,,0.007611
1800,8.951048,,,8.951048,,,,0.009043
1801,8.729362,,,8.729362,,,,0.008781
1802,11.001193,,,11.001193,,,,0.011018
1803,8.061399,,,8.061399,,,,0.008038
1804,8.670175,,,8.670175,,,,0.008607
1805,8.528981,,,8.528981,,,,0.008429
1806,8.925468,,,8.925468,,,,0.008781
1807,9.879576,,,9.879576,,,,0.009675
1808,9.687756,,,9.687756,,,,0.009444
1809,9.915917,,,9.915917,,,,0.009622
1810,10.777907,,,10.777907,,,,0.01041
1811,10.96468,,,10.96468,,,,0.010541
1812,11.138754,,,11.138754,,,,0.010659
1813,11.24563,,,11.24563,,,,0.010711
1814,11.524139,,,11.524139,,,,0.010924
1815,11.895467,,,11.895467,,,,0.011222
1816,12.41654,,,12.41654,,,,0.011658
1817,13.447967,,,13.447967,,,,0.012566
1818,14.025472,,,14.025472,,,,0.013043
1819,13.89943,,,13.89943,,,,0.012863
1820,13.845641,,,13.845641,,,,0.012751
1821,14.207597,,,14.207597,,,,0.013021
1822,14.743148,,,14.743148,,,,0.013446
1823,15.380683,,,15.380683,,,,0.013959
1824,15.715239,,,15.715239,,,,0.014192
1825,16.574154,,,16.574154,,,,0.014894
1826,16.751891,,,16.751891,,,,0.014979
1827,17.940813,,,17.940813,,,,0.015963
1828,18.198229,,,18.198229,,,,0.016112
1829,18.096056,,,18.096056,,,,0.015941
1830,24.285921,,,24.285921,,,,0.021287
1831,22.720053,,,22.720053,,,,0.019815
1832,22.403732,,,22.403732,,,,0.019441
1833,22.719531,,,22.719531,,,,0.019616
1834,24.224476,,,24.224476,,,,0.020811
1835,26.581472,,,26.581472,,,,0.02272
1836,29.17274,,,29.17274,,,,0.024809
1837,28.983047,,,28.983047,,,,0.024524
1838,28.886392,,,28.886392,,,,0.024318
1839,29.925577,,,29.925577,,,,0.025065
1840,32.424213,,,32.424213,,,,0.027021
1841,33.340386,,,33.340386,,,,0.027643
1842,35.311692,,,35.311692,,,,0.029129
1843,36.125133,,,36.125133,,,,0.029649
1844,38.737684,,,38.737684,,,,0.031632
1845,42.311483,,,42.311483,,,,0.034374
1846,43.026175,,,43.026175,,,,0.034777
1847,46.597162,,,46.597162,,,,0.037472
1848,47.371952,,,47.371952,,,,0.037901
1849,50.470075,,,50.470075,,,,0.040175
1850,53.69588,,,53.69588,,,,0.042525
1851,54.218815,,,54.218815,,,,0.042721
1852,56.605731,,,56.605731,,,,0.044376
1853,59.254671,,,59.254671,,,,0.046217
1854,69.601492,,,69.601492,,,,0.054012
1855,70.985488,,0.009999,70.975489,,,,0.054807
1856,75.677397,,0.010999,75.666398,,,,0.058134
1857,76.396675,,0.013999,76.382676,,,,0.058389
1858,77.568322,,0.016999,77.551323,,,,0.058985
1859,82.277713,,0.014998,82.262716,,,,0.062248
1860,90.323504,,0.07585,90.247654,,,,0.067989
1861,94.914758,,0.258533,94.656226,,,,0.071082
1862,96.74411,,0.383192,96.360917,,,,0.072083
1863,103.209722,,0.35416,102.855561,,,,0.076508
1864,111.27312,,0.304185,110.968934,,,,0.082064
1865,118.132247,,0.361285,117.770962,,,,0.086677
1866,121.869623,,0.538326,121.331297,,,,0.08896
1867,130.495582,,0.547581,129.948,,,,0.094767
1868,134.150196,,0.627944,133.522253,,,,0.096918
1869,142.447321,,0.718835,141.728486,,,,0.10238
1870,145.554157,,0.861114,144.693043,,,,0.10407
1871,154.711192,,0.90593,153.805263,,,,0.110041
1872,171.197744,,1.019454,170.178291,,,,0.121131
1873,181.89041,,1.55352,180.33689,,,,0.128021
1874,170.360254,,1.710382,168.649872,,,,0.119274
1875,184.79217,,1.598783,183.193386,,,,0.128694
1876,187.430242,,1.790296,185.639946,,,,0.129838
1877,191.148437,,2.413423,188.735014,,,,0.131708
1878,192.668325,,2.747487,189.920838,,,,0.132044
1879,206.318519,,3.461377,202.857143,,,,0.140638
1880,233.043635,,4.200775,228.842812,0.000047,,,0.157996
1881,241.129362,,4.712095,236.417211,0.000057,,,0.16259
1882,254.724743,0.044998,5.175389,249.504283,0.000074,,,0.170819
1883,270.933906,0.103993,4.511298,266.31852,0.000095,,,0.180692
1884,274.039769,0.319983,5.005706,268.713989,0.000091,,,0.181755
1885,276.087438,1.013947,5.178847,269.89455,0.000094,,,0.182097
1886,280.394086,2.094891,5.960708,272.338385,0.000102,,,0.183907
1887,294.402448,3.216832,6.412146,284.773319,0.000152,,,0.192013
1888,325.952608,4.577761,6.711962,314.662738,0.000148,,,0.211392
1889,326.026682,3.336826,7.757123,314.932574,0.000159,,,0.210242
1890,354.883867,3.189804,9.461042,342.232839,0.000181,,,0.227547
1891,371.637326,2.441873,11.147237,358.04803,0.000187,,,0.236923
1892,374.542824,2.121889,10.977075,361.44366,0.000199,,,0.237399
1893,369.925396,1.988896,11.616404,356.319914,0.000181,,,0.233113
1894,382.900108,1.82792,11.387051,369.684947,0.00019,,,0.239882
1895,405.937446,1.921885,13.251716,390.763648,0.000198,,,0.252823
1896,419.29189,1.868888,14.352554,403.070231,0.000216,,,0.259599
1897,439.177849,1.988882,15.161295,422.027423,0.000249,,,0.270297
1898,463.176283,2.30888,15.609998,445.25713,0.000275,,,0.283365
1899,505.89862,2.975845,16.393163,486.52926,0.000352,,,0.307643
1900,532.780478,3.149836,18.379835,511.250427,0.000381,,,0.322032
1901,550.392822,3.509817,20.408716,526.473834,0.000455,,,0.330594
1902,564.294791,3.737805,22.062162,538.494234,0.000589,,,0.3367
1903,615.169922,3.964793,23.362456,587.841977,0.000695,,,0.364517
1904,622.169356,4.138767,26.234917,591.29447,0.00075,,,0.366029
1905,662.443173,4.685756,26.4948,630.721172,0.000958,,,0.386872
1906,691.757927,5.192729,26.734456,659.248991,0.001227,,,0.400993
1907,788.255283,5.4247,32.61577,749.653043,0.001264,,,0.453515
1908,757.722745,5.36972,35.173157,716.647921,0.031495,,,0.432694
1909,788.849354,6.419665,36.69668,745.060872,0.03156,,,0.447135
1910,828.038095,6.799645,39.350859,781.21006,0.036953,,,0.465929
1911,840.431606,7.018644,41.73581,791.01618,0.040411,,,0.469521
1912,883.131783,7.727597,42.931378,831.784006,0.048223,,,0.489886
1913,956.903084,8.077579,49.708121,898.401462,0.055326,,,0.527072
1914,867.955708,8.224588,50.800635,808.269907,0.040018,,,0.474712
1915,855.537819,8.696531,53.944725,792.192219,0.043748,,,0.464602
1916,924.039798,10.473474,58.758414,854.017759,0.049483,,,0.498201
1917,966.223268,11.055407,65.353824,889.092963,0.04046,,,0.517139
1918,953.352062,9.966481,66.879858,875.892563,0.032636,,,0.50644
1919,826.650813,10.356456,74.621156,741.038615,0.034044,,,0.435767
1920,961.03814,11.376425,95.882781,853.09772,0.040636,,,0.502606
1921,843.323018,9.549828,105.046171,728.231239,0.035364,,,0.437438
1922,884.319019,10.945677,116.518591,756.141546,0.052609,,,0.454834
1923,1003.286413,14.334991,129.465507,858.688493,0.056754,,,0.511553
1924,1006.284909,16.295386,128.805914,860.383984,0.058958,,,0.508539
1925,1017.150494,17.445352,134.87712,860.049515,3.937749,,,0.509398
1926,999.137466,18.870773,134.394108,841.029029,4.022815,,,0.495804
1927,1090.58957,20.746414,147.447267,917.379224,4.215942,,,0.53619
1928,1085.85035,22.549446,150.750083,902.039082,9.711016,,,0.528899
1929,1165.580004,28.08161,165.418412,961.236281,10.062997,,,0.562438
1930,1074.888947,28.44423,158.983522,877.135611,9.705025,,,0.513835
1931,960.622178,25.350489,153.878821,772.461009,8.431409,,,0.454845
1932,866.078278,24.076851,147.219138,687.682666,6.739298,,,0.406058
1933,911.938846,24.813899,160.95562,719.243,6.505948,,,0.423281
1934,991.82648,27.825715,170.340874,785.4376,7.781893,,,0.455705
1935,1041.102457,30.398139,183.616291,817.798635,8.748904,,,0.473499
1936,1142.274971,34.263073,200.302588,896.457142,10.571554,,,0.514286
1937,1221.069727,38.36925,225.633861,945.190091,11.135857,,,0.544315
1938,1148.11178,36.982561,219.151372,880.864473,10.512833,,,0.506843
